tradingdate,tradingtime,symbol,lastprice,buyprice01,sellprice01
2025-08-12,2025-08-12 09:29:00.400,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:00.400,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:00.900,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:01.400,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:01.900,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:02.900,MO2508-C-7700,0.4,0.2,1.2
2025-08-12,2025-08-12 09:30:08.900,MO2508-C-7700,0.4,0.2,1.0
2025-08-12,2025-08-12 09:30:09.400,MO2508-C-7700,0.4,0.2,0.8
2025-08-12,2025-08-12 09:30:10.400,MO2508-C-7700,0.4,0.2,0.8
2025-08-12,2025-08-12 09:30:10.900,MO2508-C-7700,0.4,0.2,0.8
2025-08-12,2025-08-12 09:30:11.400,MO2508-C-7700,0.4,0.2,0.8
2025-08-12,2025-08-12 09:30:11.900,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:12.400,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:12.900,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:15.400,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:16.400,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:18.400,MO2508-C-7700,0.4,0.2,0.6
2025-08-12,2025-08-12 09:30:26.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:27.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:27.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:28.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:28.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:37.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:38.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:38.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:30:39.900,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:30:40.400,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:40.900,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:41.400,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:41.900,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:42.400,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:47.400,MO2508-C-7700,0.4,0.4,0.6
2025-08-12,2025-08-12 09:30:47.900,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:30:48.400,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:30:48.900,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:30:51.400,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:31:04.400,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:31:12.400,MO2508-C-7700,0.6,0.4,0.6
2025-08-12,2025-08-12 09:31:30.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:31:31.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:31:31.900,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:31:35.400,MO2508-C-7700,0.6,0.2,0.6
2025-08-12,2025-08-12 09:31:46.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:31:56.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:01.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:02.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:03.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:16.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:16.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:17.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:20.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:22.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:28.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:39.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:40.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:41.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:45.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:50.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:51.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:52.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:53.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:54.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:32:55.400,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:36:01.900,MO2508-C-7700,0.6,0.2,0.4
2025-08-12,2025-08-12 09:36:02.400,MO2508-C-7700,0.6,0.2,0.4
