tradingdate,tradingtime,symbol,lastprice,buyprice01,sellprice01
2025-08-01,2025-08-01 09:29:00.000,IO2508-P-3650,2.2,0.8,2.6
2025-08-01,2025-08-01 09:30:00.500,IO2508-P-3650,2.2,1.6,2.6
2025-08-01,2025-08-01 09:30:01.000,IO2508-P-3650,2.2,1.8,2.6
2025-08-01,2025-08-01 09:30:02.000,IO2508-P-3650,2.2,1.8,2.6
2025-08-01,2025-08-01 09:30:02.500,IO2508-P-3650,2.2,1.0,2.6
2025-08-01,2025-08-01 09:30:03.000,IO2508-P-3650,2.2,1.0,2.6
2025-08-01,2025-08-01 09:30:09.000,IO2508-P-3650,2.2,1.2,2.4
2025-08-01,2025-08-01 09:30:09.500,IO2508-P-3650,2.2,1.4,2.4
2025-08-01,2025-08-01 09:30:10.000,IO2508-P-3650,2.2,1.6,2.4
2025-08-01,2025-08-01 09:30:10.500,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:11.000,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:11.500,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:12.500,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:13.000,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:13.500,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:14.500,IO2508-P-3650,2.2,1.8,2.4
2025-08-01,2025-08-01 09:30:16.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:16.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:17.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:17.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:18.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:18.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:21.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:23.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:24.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:24.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:25.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:26.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:26.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:27.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:27.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:28.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:28.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:29.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:36.500,IO2508-P-3650,2.2,2.2,2.4
2025-08-01,2025-08-01 09:30:37.000,IO2508-P-3650,2.2,2.2,2.4
2025-08-01,2025-08-01 09:30:38.500,IO2508-P-3650,2.2,2.2,2.4
2025-08-01,2025-08-01 09:30:40.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:40.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:41.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:41.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:42.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:42.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:45.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:50.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:53.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:54.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:55.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:57.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:57.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:58.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:58.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:59.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:30:59.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:00.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:00.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:01.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:03.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:03.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:04.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:04.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:05.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:05.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:06.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:06.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:07.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:07.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:08.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:08.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:09.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:25.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:25.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:30.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:31.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:32.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:36.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:37.000,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:41.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:53.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:57.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:31:59.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:32:00.500,IO2508-P-3650,2.2,2.0,2.4
2025-08-01,2025-08-01 09:32:02.500,IO2508-P-3650,2.2,2.0,2.4
