tradingdate,tradingtime,symbol,lastprice,buyprice01,sellprice01
2025-08-26,2025-08-26 09:29:00.000,IO2511-C-4900,86.8,76.8,86.8
2025-08-26,2025-08-26 09:30:00.500,IO2511-C-4900,86.8,81.2,86.8
2025-08-26,2025-08-26 09:30:01.000,IO2511-C-4900,86.8,81.2,86.8
2025-08-26,2025-08-26 09:30:01.500,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:03.000,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:04.000,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:05.000,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:06.000,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:06.500,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:07.000,IO2511-C-4900,86.8,81.4,86.6
2025-08-26,2025-08-26 09:30:07.500,IO2511-C-4900,86.8,81.4,86.6
2025-08-26,2025-08-26 09:30:09.000,IO2511-C-4900,86.8,81.4,86.8
2025-08-26,2025-08-26 09:30:12.000,IO2511-C-4900,86.8,81.2,86.8
2025-08-26,2025-08-26 09:30:12.500,IO2511-C-4900,86.8,81.2,86.8
2025-08-26,2025-08-26 09:30:13.000,IO2511-C-4900,86.8,81.2,86.6
2025-08-26,2025-08-26 09:30:13.500,IO2511-C-4900,86.8,81.2,86.6
2025-08-26,2025-08-26 09:30:15.000,IO2511-C-4900,86.8,81.2,86.6
2025-08-26,2025-08-26 09:30:15.500,IO2511-C-4900,86.8,81.2,94.2
2025-08-26,2025-08-26 09:30:16.000,IO2511-C-4900,86.8,81.2,94.2
2025-08-26,2025-08-26 09:30:17.000,IO2511-C-4900,86.8,81.2,94.2
2025-08-26,2025-08-26 09:30:18.500,IO2511-C-4900,86.8,74.4,94.2
2025-08-26,2025-08-26 09:30:19.000,IO2511-C-4900,86.8,74.4,94.2
2025-08-26,2025-08-26 09:30:19.500,IO2511-C-4900,86.8,74.4,94.0
2025-08-26,2025-08-26 09:30:20.000,IO2511-C-4900,86.8,71.0,94.0
2025-08-26,2025-08-26 09:30:20.500,IO2511-C-4900,86.8,71.0,94.0
2025-08-26,2025-08-26 09:30:21.000,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:22.000,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:22.500,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:23.500,IO2511-C-4900,86.8,71.2,94.2
2025-08-26,2025-08-26 09:30:24.000,IO2511-C-4900,86.8,71.2,94.2
2025-08-26,2025-08-26 09:30:25.000,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:25.500,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:29.500,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:30.000,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:31.000,IO2511-C-4900,86.8,71.0,94.2
2025-08-26,2025-08-26 09:30:33.000,IO2511-C-4900,86.8,71.0,94.2
